fips,NAME,income
13183,"Long County, Georgia",56819
13185,"Lowndes County, Georgia",52821
13187,"Lumpkin County, Georgia",67592
13189,"McDuffie County, Georgia",54752
13191,"McIntosh County, Georgia",51262
13193,"Macon County, Georgia",33960
13195,"Madison County, Georgia",53626
13197,"Marion County, Georgia",48836
13199,"Meriwether County, Georgia",52392
13201,"Miller County, Georgia",52132
13205,"Mitchell County, Georgia",45966
13207,"Monroe County, Georgia",74867
13209,"Montgomery County, Georgia",49138
13211,"Morgan County, Georgia",81524
13213,"Murray County, Georgia",60617
13215,"Muscogee County, Georgia",54561
13217,"Newton County, Georgia",70732
13219,"Oconee County, Georgia",116221
13221,"Oglethorpe County, Georgia",66672
13223,"Paulding County, Georgia",89237
13225,"Peach County, Georgia",60940
13227,"Pickens County, Georgia",72558
13229,"Pierce County, Georgia",54861
13231,"Pike County, Georgia",83866
13233,"Polk County, Georgia",51956
13235,"Pulaski County, Georgia",42545
13237,"Putnam County, Georgia",60825
13239,"Quitman County, Georgia",38889
13241,"Rabun County, Georgia",57261
13243,"Randolph County, Georgia",24638
13245,"Richmond County, Georgia",50605
13247,"Rockdale County, Georgia",68999
13249,"Schley County, Georgia",53274
13251,"Screven County, Georgia",49941
13253,"Seminole County, Georgia",46063
13255,"Spalding County, Georgia",57367
13257,"Stephens County, Georgia",52901
13259,"Stewart County, Georgia",43094
13261,"Sumter County, Georgia",38899
13263,"Talbot County, Georgia",48065
13265,"Taliaferro County, Georgia",45881
13267,"Tattnall County, Georgia",51868
13269,"Taylor County, Georgia",40727
13271,"Telfair County, Georgia",41801
13273,"Terrell County, Georgia",43507
13275,"Thomas County, Georgia",55958
13277,"Tift County, Georgia",52561
13279,"Toombs County, Georgia",47310
13281,"Towns County, Georgia",55574
13283,"Treutlen County, Georgia",38641
13285,"Troup County, Georgia",53599
13287,"Turner County, Georgia",39666
13289,"Twiggs County, Georgia",50446
13291,"Union County, Georgia",59783
13293,"Upson County, Georgia",48740
13295,"Walker County, Georgia",52276
13297,"Walton County, Georgia",79425
13299,"Ware County, Georgia",44138
13301,"Warren County, Georgia",45091
13303,"Washington County, Georgia",43810
13305,"Wayne County, Georgia",49847
13307,"Webster County, Georgia",35000
13309,"Wheeler County, Georgia",36354
13311,"White County, Georgia",66256
13313,"Whitfield County, Georgia",59659
13315,"Wilcox County, Georgia",46759
13317,"Wilkes County, Georgia",51780
13319,"Wilkinson County, Georgia",40757
13321,"Worth County, Georgia",56496
15001,"Hawaii County, Hawaii",74238
15003,"Honolulu County, Hawaii",99816
15005,"Kalawao County, Hawaii",87813
15007,"Kauai County, Hawaii",88869
15009,"Maui County, Hawaii",95379
16001,"Ada County, Idaho",83881
16003,"Adams County, Idaho",55891
16005,"Bannock County, Idaho",60998
16007,"Bear Lake County, Idaho",63244
16009,"Benewah County, Idaho",54191
16011,"Bingham County, Idaho",69433
16013,"Blaine County, Idaho",81794
16015,"Boise County, Idaho",70776
16017,"Bonner County, Idaho",61816
16019,"Bonneville County, Idaho",73103
16021,"Boundary County, Idaho",58810
16023,"Butte County, Idaho",37358
16025,"Camas County, Idaho",63750
16027,"Canyon County, Idaho",68473
16029,"Caribou County, Idaho",65380
16031,"Cassia County, Idaho",63525
16033,"Clark County, Idaho",53500
16035,"Clearwater County, Idaho",55885
16037,"Custer County, Idaho",60357
16039,"Elmore County, Idaho",55000
16041,"Franklin County, Idaho",61679
16043,"Fremont County, Idaho",67015
16045,"Gem County, Idaho",65204
16047,"Gooding County, Idaho",60938
16049,"Idaho County, Idaho",54745
16051,"Jefferson County, Idaho",77491
16053,"Jerome County, Idaho",67347
16055,"Kootenai County, Idaho",71949
16057,"Latah County, Idaho",62258
16059,"Lemhi County, Idaho",49216
16061,"Lewis County, Idaho",46484
16063,"Lincoln County, Idaho",62250
16065,"Madison County, Idaho",53025
